Type,Title,Price,Location,Land Area,Bedroom,Bathroom,Car Space,Floor Level,Floor Area,Facing,Agency,Status,Status1,Status2,Status3
Shophouse,La Maison plaza for sale,"$172,000","Chrang Chamres 2, Russey Keo, Phnom Penh",NaN,5,4,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,Project Condo Prince Happiness Plaza At Monivong blv,"$70,000","Tumnob Tuek, Chamkarmon, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Shophouse,Shophouse for rent near Aeon Sensok,"$150,000","Russey Keo, Russey Keo, Phnom Penh",NaN,4,5,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,DABEST PROPERTIES: Condo for Sale in Siem Reap- Riverside,"$238,396","Properties DABEST, Sala Kamraeuk, Siem Reap, Siem Reap",NaN,2,2,NaN,1,145m²,W,"DaBest Properties Cambodia Co., Ltd",For sale
Condo,DABEST PROPERTIES: 2 Bedroom Condo for Sale in Siem Reap-Svay Dangkum,"$118,500","Svay Dankum, Siem Reap, Siem Reap",NaN,2,2,1,1,79m²,NaN,"DaBest Properties Cambodia Co., Ltd",For sale,Price Negotiable
Condo,DABEST PROPERTIES: Urgent 4 Bedroom Condo for Sale in Siem Reap- Svay Dangkum,"$145,000","Svay Dankum, Siem Reap, Siem Reap",NaN,4,3,NaN,5,157m²,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Land,DABEST PROPERTIES: Land near riverside for Sale in Siem Reap ,"$1,280,000","Sala Kamraeuk, Siem Reap, Siem Reap",800m²,NaN,NaN,NaN,NaN,NaN,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Villa,Queen Villa for Sale at Borey PH The Star Munirah 6A.(PH6A),"$1,499,000"," Nirouth, Chbar Ampov, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale
Villa,Villa for Sale with good location in Phnom Penh-National road 2,"$680,000"," Chak Angrae Kraom, Meanchey, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale
Land,DABEST PROPERTIES: Land for Sale in​ Krong Siem Reap,"$1,087,500","Svay Dankum, Siem Reap, Siem Reap",435m²,NaN,NaN,NaN,NaN,NaN,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Villa,DABEST PROPERTIES: Private Villa with Swimming pool for Sale in Siem Reap-Svay Dangkum ,"$160,000","Svay Dankum, Siem Reap, Siem Reap",200m²,2,2,NaN,NaN,NaN,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Shophouse,Shophouse for rent near Aeon Sensok,"$150,000","Russey Keo, Russey Keo, Phnom Penh",NaN,5,4,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,Beautiful Condo 1 Bedroom for sale Beong Tra Bek2.,"$53,000"," Boeung Trabek, Chamkarmon, Phnom Penh",NaN,1,1,1,6,NaN,NaN,Century 21 Fuji Realty,For sale,Price Negotiable
Condo,2-Bedroom for sale Urgent at L BKK3 ,"$105,000"," BKK 3, Chamkarmon, Phnom Penh",NaN,2,2,1,6,NaN,NaN,Century 21 Fuji Realty,For sale,Price Negotiable
Condo,Residence L BKK3 Condominium for sale unit 1 Bedroom ,"$75,000"," BKK 3, Chamkarmon, Phnom Penh",NaN,1,1,1,13,NaN,NaN,Century 21 Fuji Realty,For sale,Price Negotiable
Apartment,"Two Bedroom Condo for Sale with Gym ,Swimming Pool in Phnom Penh-Hun sen road","$147,000"," Chak Angrae Kraom, Meanchey, Phnom Penh",NaN,2,2,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale
Apartment,Flat (3floor) for sale in Borey Nirouth Chey(Nirouth) 500m from Chbaram Pov high School,"$140,000"," Nirouth, Chbar Ampov, Phnom Penh",64m²,4,5,NaN,NaN,NaN,NaN,Rentex Property Services,For sale,Price Negotiable
Link House,Link Villa For Sale In BKK3,"$330,000"," BKK 3, Chamkarmon, Phnom Penh",83m²,4,5,NaN,NaN,NaN,NaN,Rentex Property Services,For sale
Condo,Residence L Beoung Kang Kong 3 for sale 1203,"$65,000"," BKK 3, Chamkarmon, Phnom Penh",NaN,1,1,1,7,NaN,NaN,Century 21 Fuji Realty,For sale,Price Negotiable
Villa,"Villa With Swimming pool For Rent and SaleAt Beoung KoK2, Toul Kork.","$2,100,000"," Boeung Kak 2, Toul Kork, Phnom Penh",789m²,6,7,NaN,NaN,NaN,NaN,Rentex Property Services,For sale
Shophouse,Shop House For Sale In Borey Peng Hout Boeung Snor.,"$175,000"," Nirouth, Chbar Ampov, Phnom Penh",NaN,4,5,NaN,NaN,NaN,NaN,Rentex Property Services,For sale
Condo,Residence L BTK for sale urgent,"$95,000"," Boeung Trabek, Chamkarmon, Phnom Penh",NaN,2,2,1,20,NaN,NaN,Century 21 Fuji Realty,For sale,Price Negotiable
Villa,Swiming pool villa for sale in Toul Kork.,"$3,500,000"," Boeung Kak 1, Toul Kork, Phnom Penh",NaN,5,6,5,NaN,NaN,NaN,Rentex Property Services,For sale
Condo,Embassy Residence Condominium for sale Urgent,"$100,000"," Tonle Bassac, Chamkarmon, Phnom Penh",NaN,1,1,1,11,NaN,NaN,Century 21 Fuji Realty,For sale,Urgent Sale
Condo,"2 Bedrooms Condo For Sale in Boeung Kak2 area, Phnom Penh.","$125,000"," Boeung Kak 2, Toul Kork, Phnom Penh",NaN,2,2,NaN,NaN,138m²,NaN,Rentex Property Services,For sale,Price Negotiable
Condo,Renovated House For Sale Phsar Thmey-3.,"$230,000"," Phsar Thmei III, Daun Penh, Phnom Penh",NaN,3,2,NaN,NaN,176m²,NaN,Rentex Property Services,For sale
Condo,"3 Bedrooms Duplex Renovated House With Studio For Sale – Daun Penh, Phnom Penh","$150,000"," Phsar Thmei I, Daun Penh, Phnom Penh",NaN,3,2,NaN,NaN,150m²,NaN,Rentex Property Services,For sale,Price Negotiable
Condo,Two Bedrooms Condominium For Sale In Boeung Keng Kong 3 Area,"$160,000"," BKK 3, Chamkarmon, Phnom Penh",89m²,2,2,1,NaN,68m²,NaN,Rentex Property Services,For sale,Price Negotiable
Condo,1 Bedroom Condo For Sale In Toul Tumpong.,"$50,000"," Toul Tum Poung 1, Chamkarmon, Phnom Penh",NaN,1,1,NaN,3,40m²,NaN,Rentex Property Services,For sale,Price Negotiable
Condo,One Bedroom Condo For Sale In Boeung Tumpun Area.,"$66,000"," Boeung Tumpun, Meanchey, Phnom Penh",NaN,1,1,1,5,49m²,NaN,Rentex Property Services,For sale
Condo,Brand New Studio Bedroom Condominium for Sale in Toulkork Area,"$55,000"," Boeung Kak 2, Toul Kork, Phnom Penh",NaN,1,1,NaN,11,31m²,NaN,Rentex Property Services,For sale,Price Negotiable
Condo,"4 Bedrooms Condo For Sale in Boeung Kak2 area, Phnom Penh.","$450,000"," Boeung Kak 2, Toul Kork, Phnom Penh",201m²,4,4,1,NaN,201m²,NaN,Rentex Property Services,For sale,Price Negotiable
Condo,Studio Room Condominium For Sale in Toul Kork Area.,"$35,000"," Boeung Kak 1, Toul Kork, Phnom Penh",NaN,1,1,NaN,7,NaN,NaN,Rentex Property Services,For sale,Price Negotiable
Condo,3 Bedroom Condo For Sale Only 1 Unit Left - Downtown Siem Reap,"$328,100","Night Market Area , Svay Dankum, Siem Reap, Siem Reap",6000m²,3,2,NaN,6,136m²,NaN,IPS Cambodia,For sale
Villa,"4 Bedroom Villa Kamboja For Sale - Svay Dangkum, Siem Reap","$360,000"," Svay Dankum, Siem Reap, Siem Reap",652m²,4,5,NaN,NaN,647m²,NaN,IPS Cambodia,For sale
Villa,"5,758 Sqm Land For Sale - Sambuor, Siem Reap","$980,000","Sangkat Sambuor, Siem Reap, Siem Reap",5724m²,7,8,NaN,1,NaN,NaN,IPS Cambodia,For sale,Luxury Property
Apartment,De Castle Royal Two bedroom for sale with below market price,"$240,000"," BKK 1, Chamkarmon, Phnom Penh",NaN,2,3,1,10,NaN,NaN,Century 21 Fuji Realty,For sale,Urgent Sale
Condo,Residence L BKK3 2 Bedroom Condominium for sale ,"$99,000"," BKK 3, Chamkarmon, Phnom Penh",NaN,2,2,1,16,NaN,NaN,Century 21 Fuji Realty,For sale,Price Negotiable
Apartment,Residence L BKK3 for sale ,"$78,000"," BKK 3, Chamkarmon, Phnom Penh",NaN,1,1,1,14,NaN,NaN,Century 21 Fuji Realty,For sale,Price Negotiable
Condo,Residence L Beoung Trabek for sale,"$35,000"," Boeung Trabek, Chamkarmon, Phnom Penh",NaN,1,1,NaN,6,NaN,NaN,Century 21 Fuji Realty,For sale,Urgent Sale
Condo,Studio room for sale urgent in Toul Kork Area,"$52,000"," Boeung Kak 1, Toul Kork, Phnom Penh",NaN,1,1,1,12,NaN,NaN,Century 21 Fuji Realty,For sale,Urgent Sale
Twin Villa,Villa twin for sale and rant,"$420,000","Nirouth, Chbar Ampov, Phnom Penh",NaN,6,6,2,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Villa,Villa Gold for sale,"$249,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",NaN,5,4,2,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,Studio room for sale at olympia city ,"$135,000"," Veal Vong, 7 Makara, Phnom Penh",NaN,1,1,1,10,NaN,NaN,Century 21 Fuji Realty,For sale,Price Negotiable
Condo,Residence L Olympic 1 Bedroom Condominium for sale urgent ,"$54,000"," Olympic, Chamkarmon, Phnom Penh",NaN,1,1,NaN,13,NaN,NaN,Century 21 Fuji Realty,For sale,Urgent Sale
Condo,J Tower South BKK 1Condominium For Sale Modern style ,"$119,000"," Tonle Bassac, Chamkarmon, Phnom Penh",NaN,1,1,1,8,NaN,NaN,Century 21 Fuji Realty,For sale,Urgent Sale
Flat House,House for sale urgently | House on Urgent Sale Located in Borey Victory City by SUNWAH in Stung Meanchey,"$165,000"," Stueng Mean chey 3, Meanchey, Phnom Penh",68m²,5,6,1,3,267m²,NaN,GC Realty,For sale,Urgent Sale
House,"DAKA KUN REALTY: ផ្ទះឈើលក់នៅជិតមាត់ស្ទឹង, ក្រុងសៀមរាប​/House for Sale in Siem Reap - Riverside","$250,000","Sla Kram, Siem Reap, Siem Reap",NaN,4,2,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
Twin Villa,Twin villa for sale Borey Peng Huoth The Star Premier,"$320,000"," Chrang Chamres I, Russey Keo, Phnom Penh",157m²,4,5,2,NaN,NaN,NaN,Century 21 Fuji Realty,For sale
Villa,"3 Bedroom Villa For Sale - Sala Kamreuk, Siem Reap","$550,000"," Sala Kamraeuk, Siem Reap, Siem Reap",1177m²,3,2,NaN,1,NaN,NaN,IPS Cambodia,For sale
Apartment,"2 Bedroom Duplex For Sale - Daun Penh, Phnom Penh","$230,000"," Wat Phnom, Daun Penh, Phnom Penh",96m²,2,2,NaN,2,192m²,NaN,IPS Cambodia,For sale
Condo,"Studio Condo For Sale - Olympia City, Phnom Penh","$108,000"," Olympic, Chamkarmon, Phnom Penh",57m²,1,1,NaN,9,57m²,NaN,IPS Cambodia,For sale
Condo,Combined Soho Unit for Sale in The Bridge ,"$239,000","Tonle Bassac, Chamkarmon, Phnom Penh",NaN,1,2,NaN,15,115m²,N/E,"TownCity Real Estate Co.,Ltd",For sale
Villa,"4 Bedroom Villa For Sale - BKK3, Phnom Penh","$1,100,000"," BKK 3, Chamkarmon, Phnom Penh",247m²,5,6,NaN,3,113m²,NaN,IPS Cambodia,For sale
Flat,"5 Bedroom Flat For Sale - Toul Svay Prey 1, Phnom Penh","$340,000"," Toul Svay Prey 1, Chamkarmon, Phnom Penh",136m²,5,3,NaN,3,152m²,NaN,IPS Cambodia,For sale
Villa,"5 Bedroom Villa For Sale - Chreav, Siem Reap","$296,000","Chreav, Siem Reap, Siem Reap",NaN,5,4,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Condo,"2 Bedroom Condo For Sale - Time Square 2, Phnom Penh","$79,000"," Boeung Kak 1, Toul Kork, Phnom Penh",46m²,2,1,NaN,14,46m²,NaN,IPS Cambodia,For sale,Price Reduced
Condo,"2 Bedroom Condo For Sale - Urban Loft, Sen Sok, Phnom Penh","$230,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",126m²,2,2,NaN,15,126m²,NaN,IPS Cambodia,For sale
House,"2 Bedroom Renovated House For Sale - Preaek Aeng, Chbar Ampov, Phnom Penh","$1,500,000"," Preaek Aeng, Chbar Ampov, Phnom Penh",422m²,2,2,NaN,1,422m²,NaN,IPS Cambodia,For sale,Price Negotiable
Apartment,"3 Bedrooms Apartment For Sale - Chakto Mukh, Phnom Penh","$295,000"," Chakto Mukh, Daun Penh, Phnom Penh",NaN,3,3,NaN,1,186m²,NaN,IPS Cambodia,For sale
Villa,Villa for Sale in Borey Peng Huoth Eco-Melody,"$5,700,000","Nirouth, Chbar Ampov, Phnom Penh",NaN,8,11,3,NaN,NaN,NaN,"TownCity Real Estate Co.,Ltd",For sale
Villa,🏡 Villa for sale in Phnom Penh Thmey,"$1,500,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",643m²,5,6,7,NaN,NaN,NaN,Century 21 Fuji Realty,For sale
Condo,Very Good Investment Condominium,"$85,000","Tonle Bassac, Chamkarmon, Phnom Penh",NaN,1,1,1,39,NaN,NaN,Ah Mey,For sale or rent
Condo,Very Good Investment Condominium,"$85,000","Tonle Bassac, Chamkarmon, Phnom Penh",NaN,1,1,1,39,NaN,NaN,Ah Mey,For sale or rent
Condo,"1 Bedroom Condo Unit For Sale - Sen Sok, Phnom Penh","$128,135"," Tuek Thla, Sen Sok, Phnom Penh",52m²,1,1,NaN,2,52m²,NaN,IPS Cambodia,For sale
Condo,"1 Bedroom Condo For Sale - Teuk Thla, Sen Sok, Phnom Penh","$125,000"," Tuek Thla, Sen Sok, Phnom Penh",56m²,1,1,NaN,7,56m²,NaN,IPS Cambodia,For sale
Shophouse,Brand new shophouse for sale with modern style in good location - La Maison Plaza ,"$170,000"," Chrang Chamres I, Russey Keo, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale
Land,DABEST PROPERTIES: Land for Sale in​ Krong Siem Reap-Sangkat Chreav ,"$59,150","Chreav, Siem Reap, Siem Reap",455m²,NaN,NaN,NaN,NaN,NaN,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Condo,One bedroom for rent at Decastle Royal,"$90,000","BKK 1, Chamkarmon, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,Condo for rent at Olympia city,"$90,000","Veal Vong, 7 Makara, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,Condo for sale at Olympia city,"$90,000","Veal Vong, 7 Makara, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Shophouse,New project borey for sale,"$170,000","Svay Pak, Russey Keo, Phnom Penh",NaN,5,4,NaN,NaN,130m²,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Villa,វីឡាលក់ក្នងក្រុងសៀមរាប​-ស្វាយដង្គំ/New Modern Villa for Sale in Siem Reap-Svay Dangkum,"$270,000","Svay Dankum, Siem Reap, Siem Reap",240m²,2,3,NaN,NaN,NaN,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Condo,Unit for Sale at TTP area,"$6,600","Toul Tum Poung 1, Chamkarmon, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Flat,"DAKA KUN REALTY: ផ្ទះលក់នៅលើផ្លូវប៉េតុងធំ, ក្រុងសៀមរាប/House for Sale in Siem Reap - Sala Kamreuk","$330,000","Sala Kamraeuk, Siem Reap, Siem Reap",NaN,4,5,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
House,DAKA KUN REALTY: ផ្ទះវីឡាលក់ក្នុងក្រុងសៀមរាប ប្រហែល 2នាទីពីផ្លូវជាតិលេខ 06/Villa for Sale in Siem Reap-Svay Dangkum,"$260,000","Svay Dankum, Siem Reap, Siem Reap",NaN,3,3,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
House,DAKA KUN REALTY: House for Sale in Siem Reap city-Svay Dangkum,"$140,000","Svay Dankum, Siem Reap, Siem Reap",NaN,2,1,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
Villa,"1 Bedrooms Wooden House For Sale - Chreav, Siem Reap","$230,000"," Chreav, Siem Reap, Siem Reap",784m²,1,2,NaN,1,35m²,NaN,IPS Cambodia,For sale
Land,"1218 Sqm Land For Sale - Prek Leap, Phnom Penh","$300,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",1218m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Villa,"4 Bedroom Villa For Sale - Preaek Aeng, Phnom Penh","$470,000"," Preaek Aeng, Chbar Ampov, Phnom Penh",446m²,4,4,NaN,1,NaN,NaN,IPS Cambodia,For sale
Residential Property,Villa For Sale,"$700,000"," Tonle Bassac, Chamkarmon, Phnom Penh",NaN,4,4,NaN,NaN,NaN,NaN,NaN,For sale
Condo,Olympia City studio room for sale ,"$135,000"," Veal Vong, 7 Makara, Phnom Penh",NaN,1,1,1,13,NaN,NaN,Century 21 Fuji Realty,For sale,Urgent Sale
Condo,Modern style Condo for sale,"$86,000","Boeung Kak 1, Toul Kork, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,J Tower condominium for sale at Tonle Bassas Area ,"$119,000"," 63, Tonle Bassac, Chamkarmon, Phnom Penh",NaN,1,1,1,8,NaN,NaN,Century 21 Fuji Realty,For sale,Urgent Sale
Apartment,Apartment for Rent,"$88,000","Boeung Salang, Toul Kork, Phnom Penh",NaN,1,1,1,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Apartment,Apartment for Rent,"$88,000","Boeung Salang, Toul Kork, Phnom Penh",NaN,1,1,1,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Apartment,"2 Bedroom Renovated Apartment For Sale - Daun Penh, Phnom Penh","$185,000"," Phsar Kandal II, Daun Penh, Phnom Penh",128m²,2,2,NaN,NaN,128m²,NaN,IPS Cambodia,For sale
House,House for sale urgent under market price,"$900,000"," Tonle Bassac, Chamkarmon, Phnom Penh",291m²,4,NaN,NaN,NaN,NaN,NaN,"Amatak Property Services Co., Ltd",For sale
Land,Land for sale,"$715,920","Baek Chan, Angk Snuol, Kandal",3768m²,NaN,NaN,NaN,NaN,3768m²,NaN,"Amatak Property Services Co., Ltd",For sale
Land,"32,118 sq.m. Commercial Land For Sale - Wat Damnak, Siem Reap","$11,241,300","Wat Damnak , Sala Kamraeuk, Siem Reap, Siem Reap",32118m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Condo,DABEST PROPERTIES: Karavansara Condo for Sale in Siem Reap- Riverside,"$240,000"," Sala Kamraeuk, Siem Reap, Siem Reap",NaN,2,2,1,NaN,144m²,W,"DaBest Properties Cambodia Co., Ltd",For sale
Condo,DABEST Properties: Central Condo for Sale in Siem Reap- Svay DanKum,"$178,000","DABEST PROPERTIES DABEST, Svay Dankum, Siem Reap, Siem Reap",NaN,2,2,2,NaN,90m²,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Condo,DABEST CONDOS CAMBODIA : 1 Bedroom Condo for Sale in Siem Reap-Svay Dangkum,"$108,663","Svay Dankum, Siem Reap, Siem Reap",NaN,1,1,NaN,1,47m²,S,"DaBest Properties Cambodia Co., Ltd",For sale
Condo,DABEST PROPERTIES: 3 Bedroom Condo for Sale in Siem Reap- Svay Dangkum,"$105,000","Svay Dankum, Siem Reap, Siem Reap",NaN,3,2,1,5,112m²,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Condo,DABEST PROPERTIES: Luxury Studio Condo For Sale in Phnom Penh- Chroy Changva ,"$159,500","Properties DaBest, Chroy Changvar, Chroy Changvar, Phnom Penh",NaN,1,1,NaN,16,56m²,N,"DaBest Properties Cambodia Co., Ltd",For sale,Price Reduced
Condo,DABEST CONDOS: New 1BR Luxury Condo for Re-Sale at Peninsula Private Residences,"$214,500",The Peninsula Private Residences,NaN,1,1,1,10,66m²,E,"DaBest Properties Cambodia Co., Ltd",For sale,Ready to Move In
Condo,DABEST PROPERTIES: Condo for Sale in Phnom Penh-Sangkat Chak Angre Le ,"$76,325","Dabest Properties , Chak Angrae Leu, Meanchey, Phnom Penh",NaN,1,1,NaN,NaN,54m²,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Condo,DABEST PROPERTIES: Condo 2 Bedroom for Sale in Phnom Penh-Veal Vong at Olympia City,"$195,000","Dabest Properties, Veal Vong, 7 Makara, Phnom Penh",NaN,2,2,NaN,9,122m²,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Condo,DABEST PROPERTIES: Urgent Sale Condo in Phnom Penh- BKK1,"$290,000","Dabest Properties , BKK 1, Chamkarmon, Phnom Penh",NaN,2,3,NaN,NaN,103m²,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Condo,DABEST PROPERTIES: Brand new 2 Bedroom Condo For Sale in Phnom Penh-7 Makara,"$1,186,000","Properties Dabest, Wat Phnom, Daun Penh, Phnom Penh",NaN,2,2,NaN,NaN,281m²,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Condo,DABEST PROPERTIES: Brand New 2 Bedroom Condo for Sale in Phnom Penh- Daun Penh,"$371,526","DABEST PROPERTIES, Srah Chak, Daun Penh, Phnom Penh",NaN,2,2,NaN,NaN,105m²,NaN,"DaBest Properties Cambodia Co., Ltd",Rental Return: 7.0% a year for 5 years,For sale
Condo,"DABEST PROPERTIES: 1 Bedroom Condo For Sale in Phnom Penh-Daun Penh USD 215,395.95","$215,395","PROPERTIES DABEST, Srah Chak, Daun Penh, Phnom Penh",NaN,1,1,NaN,NaN,73m²,NaN,"DaBest Properties Cambodia Co., Ltd",Rental Return: 7.0% a year for 5 years,For sale
Condo,DABEST PROPERTIES: Condo for Sale in Phnom Penh- BKK1,"$272,402","DABEST PROPERTIES, BKK 1, Chamkarmon, Phnom Penh",NaN,2,2,NaN,NaN,94m²,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Apartment,DABEST PROPERTIES: Well Designed 2 ​​Bedroom Condo for Sale In Phnom Penh-Daun Penh,"$323,000","Properties Dabest, Boeng Reang, Daun Penh, Phnom Penh",NaN,2,2,1,11,107m²,W,"DaBest Properties Cambodia Co., Ltd",For sale
Condo,DABEST PROPERTIES: Urgent Sale Condo in Phnom Penh- BKK1,"$220,000",De Castle Royal Condominium,NaN,1,1,NaN,14,114m²,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Condo,DABEST PROPERTIES: Designed Condo for Sale in Phnom Penh- Daun Penh,"$216,000","DaBest Properties, Boeng Reang, Daun Penh, Phnom Penh",NaN,1,1,NaN,NaN,74m²,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Condo,DABEST PROPERTIES : Condo for Sale in Phnom Penh-BKK1,"$230,000","Dabest Properties , BKK 1, Chamkarmon, Phnom Penh",NaN,1,1,1,11,60m²,S,"DaBest Properties Cambodia Co., Ltd",For sale
Condo,DABEST PROPERTIES: Condo for Sale in Phnom Penh- BKK3,"$88,000",L Residence Boeung Keng Kang III,NaN,1,1,NaN,NaN,58m²,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Land,DABEST PROPERTIES:Land and House for Sale in​ Krong Siem Reap-Sangkat Slor Kram ,"$212,800","Sla Kram, Siem Reap, Siem Reap",266m²,NaN,NaN,NaN,NaN,NaN,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Twin Villa,House for Rent,$800,"Chaom Chau 1, Por Sen Chey, Phnom Penh",NaN,6,6,2,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Land,DABEST PROPERTIES: Land for Sale in​ Krong Siem Reap-Sangkat Svay Dangkum ,"$274,950","Svay Dankum, Siem Reap, Siem Reap",1833m²,NaN,NaN,NaN,NaN,NaN,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Condo,Residence L Olympic One Bedroom Condominium for sale urgent ,"$54,000"," Olympic, Chamkarmon, Phnom Penh",NaN,1,1,NaN,13,NaN,NaN,Century 21 Fuji Realty,For sale,Urgent Sale
Twin Villa,ភ្ល Twin villa for sale Borey Peng Huoth The Star Premier,"$288,000"," Chrang Chamres I, Russey Keo, Phnom Penh",157m²,4,5,2,NaN,NaN,NaN,Century 21 Fuji Realty,For sale
Condo,J Tower South BKK 1Condominium For Sale Modern style ,"$115,000"," Tonle Bassac, Chamkarmon, Phnom Penh",NaN,1,1,1,7,NaN,NaN,Century 21 Fuji Realty,For sale,Urgent Sale
House,DABEST PROPERTIES: House for Sale in Siem Reap-Slor Kram ,"$200,000","Sla Kram, Siem Reap, Siem Reap",328m²,2,3,NaN,NaN,NaN,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Twin Villa,ភ្ល Twin villa for sale Borey Peng Huoth The Star Premier,"$320,000"," Chrang Chamres I, Russey Keo, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,Century 21 Fuji Realty,For sale
Land,DABEST PROPERTIES: Land for Sale in​ Krong Siem Reap-Sangkat Sala Kamraeuk,"$1,879,920","Sala Kamraeuk, Siem Reap, Siem Reap",2984m²,NaN,NaN,NaN,NaN,NaN,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Villa,🏡 Villa for Sale in Beong Keng Kong,"$4,000/m²"," BKK 3, Chamkarmon, Phnom Penh",501m²,11,11,10,NaN,NaN,NaN,Century 21 Fuji Realty
Apartment,"Modern 2 Bedrooms Apartment for Rent In Toul Sangke, Toul Kork Area With Gym and Swimming","$325,600","Boeung Kak 2, Toul Kork, Phnom Penh",NaN,2,2,NaN,NaN,117m²,NaN,Ah Mey,For sale or rent
Apartment,"6 Room Apartment Hotel For Sale - Svay Dangkum, Siem Reap","$390,000"," Svay Dankum, Siem Reap, Siem Reap",450m²,6,7,1,NaN,NaN,NaN,IPS Cambodia,For sale
Apartment,"1 Bedroom Apartment For Sale - Boeung Tumpun, Phnom Penh","$59,000"," Boeung Tumpun, Meanchey, Phnom Penh",NaN,1,1,NaN,9,41m²,NaN,IPS Cambodia,For sale
Condo,Brand New Condo For Sell in Tonlebassac Area,"$70,000","Tonle Bassac, Chamkarmon, Phnom Penh",17000m²,1,1,NaN,NaN,NaN,NaN,Ah Mey,For sale or rent
Villa,Villa For Sale - 4 bedroom,"$470,000"," Veal Sbov, Chbar Ampov, Phnom Penh",432m²,4,4,1,NaN,NaN,NaN,Borey For Sale,For sale
Condo,"2 Bedroom Condo For Sale - Highland Condo, Chroy Changvar, Phnom Penh","$110,000"," Preaek Lieb, Chroy Changvar, Phnom Penh",71m²,2,2,NaN,10,71m²,NaN,IPS Cambodia,For sale
Condo,"1 Bedroom Condo For Sale - Residence L Boeung Trabek, Phnom Penh","$67,000"," Boeung Trabek, Chamkarmon, Phnom Penh",32m²,1,1,NaN,20,32m²,NaN,IPS Cambodia,For sale,Ready to Move In
Condo,"1 Bedroom Condo For Sale - Royal Park Condo, Toul Kork, Phnom Penh","$65,000"," Boeung Kak 2, Toul Kork, Phnom Penh",29m²,1,1,NaN,19,29m²,NaN,IPS Cambodia,For sale,Ready to Move In
